track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,lyrics
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,"Weight of the world on your shoulders I kiss your waist and ease your mind I must be favored to know ya I take my hands and trace your lines It's the way that we can ride It's the way that we can ride (Oh-oh-oh-oh) Think I met you in another life So break me off another time (Oh-oh-oh-oh) You wrap around me and you give me life And that's why night after night I'll be lovin' you right Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be lovin' you right Seven days a week You love when I jump right in All of me I'm offering Show you what devotion is Deeper than the ocean is Wind it back, I'll take it slow Leave you with that afterglow Show you what devotion is Deeper than the ocean is It's the way that we can ride It's the way that we can ride (Oh-oh-oh-oh) Think I met you in another life So break me off another time (Oh-oh-oh-oh) You wrap around me and you give me life And that's why night after night I'll be lovin' you right Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be lovin' you right (I'll be lovin' you right) Seven days a week Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week (Oh, oh, seven days a week) Every hour, every minute, every second You know night after night (Night after night) I'll be lovin' you right (I'll be lovin' you right) Seven days a week (Big Latto) Tightly take control, tightly take his soul Take your phone and put it in the camera roll (Uh) Leave them clothes at the door What you waiting for? Better come and hit ya goals He jump in it both feet Going to the sun-up, we ain't gettin' no sleep Seven days a week, seven different sheets Seven different angles, I can be your fantasy Open up, say, ""Ah"" Come here, baby, let me swallow your pride What you on I can match your vibe Hit me up and I'ma Cha Cha Slide You make Mondays feel like weekends I make him never think about cheatin' Got you skippin' work and meetings Let's sleep in, yeah (Seven days a week, ooh) Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second (Oh-oh-oh) You know night after night I'll be lovin' you right Seven days a week (Oh) Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday (Ooh, ooh, ooh, ooh, ooh) Seven days a week Every hour, every minute, every second (Hour, minute, second) You know night after night I'll be lovin' you right Seven days a week"
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,"Todo estÃ¡ bien, no te tiene' que estresar A ti yo sola no te dejarÃ© Me encuhlÃ© la primera ve' que la vi Me enamorÃ© cuando con ella bailÃ© Desde hace rato se querÃ­a pegar Puse la espalda contra la pared Y si yo bajo, sabe quÃ© le harÃ© TÃº quiere', mami Se le viran los ojo' La miro y se relame El pintalabio rojo' Esa cintura suelta Baby, si yo te cojo Te subo a la' altura' TÃº dime y te recojo Ella a manejar me dejÃ³ Siempre se va a sentir cuando a un lugar llegue yo Yo estaba coronando desde que era menor Por fotos se ve bien pero de frente, mejor Se dio un par de copas de mÃ¡s Del vino tinto, me pidiÃ³ pausa cuando iba por el quinto Le di una vuelta por el barrio con la Kymco Ello' cuando me ven de frente quedan trinco' Sola la hace, sola la paga Prende otra en la que esta se apaga EstÃ¡ llamando mi atenciÃ³n porque quiere que le haga TÃº quiere', mami Se le viran los ojo' La miro y se relame El pintalabio rojo' Esa cintura suelta Baby, si yo te cojo Te subo a la' altura' TÃº dime y te recojo Cuando algo estÃ¡ pa' ti, es inevitable BebÃ©, tus gana' son notable' Vamo' a hacerlo como si no hubiese ni televisor ni cable Esa mirada es la culpable Me estÃ¡s mirando, vÃ¡mono' Me dijo ""No lo piense' mucho y dÃ¡melo"" Por su cara se ve que se lo saboreÃ³ Los vecino' mirando y el balcÃ³n abriÃ³ A mÃ­ me encanta cuando pone' cara 'e mala Me rellena los peine' de bala Y hasta dejÃ© la corta en la sala Estaba enfocao en- Yo tu carnal y tÃº mi- Cuando yo bajo Siempre me pide Yo nunca paro Y a ella le gusta el- La tengo loca con el- Sola se toca cuando- MirÃ¡ndola yo le hago"
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,"Hate to give the satisfaction asking how you're doing now How's the castle built off people you pretend to care about Just what you wanted Look at you, cool guy, you got it I see the parties and the diamonds sometimes when I close my eyes Six months of torture you sold as some forbidden paradise I loved you truly You gotta laugh at the stupidity 'Cause I've made some real big mistakes But you make the worst one look fine I should've known it was strange You only come out at night I used to think I was smart But you made me look so naÃ¯ve The way you sold me for parts As you sunk your teeth into me, oh Bloodsucker, famefucker Bleeding me dry like a goddamn vampire Every girl I ever talked to told me you were bad, bad news You called them crazy God I hate the way I called them crazy too You're so convincing How do you lie without flinching? (How do you lie, how do you lie, how do you lie?) Oh, what a mesmerizing, paralyzing, fucked up little thrill Can't figure out just how you do it and God knows I never will Went for me and not her 'Cause girls your age know better I've made some real big mistakes But you make the worst one look fine I should've known it was strange You only come out at night I used to think I was smart But you made me look so naÃ¯ve The way you sold me for parts As you sunk your teeth into me, oh Bloodsucker, famefucker Bleeding me dry like a goddamn vampire You said it was true love But wouldn't that be hard? You can't love anyone 'Cause that would mean you had a heart I tried to help you out Now I know that I can't 'Cause how you think's the kind of thing I'll never understand I've made some real big mistakes But you make the worst one look fine I should've known it was strange You only come out at night I used to think I was smart But you made me look so naÃ¯ve The way you sold me for parts As you sunk your teeth into me, oh Bloodsucker, famefucker Bleeding me dry like a goddamn vampire"
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,"(Yeah, yeah, yeah, yeah) Fever dream high in the quiet of the night You know that I caught it (Oh yeah, you're right, I want it) Bad, bad boy, shiny toy with a price You know that I bought it (Oh yeah, you're right, I want it) Killing me slow, out the window I'm always waiting for you to be waiting below Devils roll the dice, angels roll their eyes What doesn't kill me makes me want you more And it's new, the shape of your body It's blue, the feeling I've got And it's ooh, whoa oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, whoa oh It's a cruel summer With you Hang your head low in the glow of the vending machine I'm not dying (Oh yeah, you're right, I want it) We say that we'll just screw it up in these trying times We're not trying (Oh yeah, you're right, I want it) So cut the headlights, summer's a knife I'm always waiting for you just to cut to the bone Devils roll the dice, angels roll their eyes And if I bleed, you'll be the last to know Oh, it's new, the shape of your body It's blue, the feeling I've got And it's ooh, whoa oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, whoa oh It's a cruel summer With you I'm drunk in the back of the car And I cried like a baby coming home from the bar (Oh) Said, ""I'm fine,"" but it wasn't true I don't wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate (Oh) And I scream, ""For whatever it's worth I love you, ain't that the worst thing you ever heard?"" He looks up, grinning like a devil It's new, the shape of your body It's blue, the feeling I've got And it's ooh, whoa oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, whoa oh It's a cruel summer With you I'm drunk in the back of the car And I cried like a baby coming home from the bar (Oh) Said, ""I'm fine,"" but it wasn't true I don't wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate (Oh) And I scream, ""For whatever it's worth I love you, ain't that the worst thing you ever heard?"" (Yeah, yeah, yeah, yeah)"
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,"The mandem too inconsiderate, five star hotels smokin' cigarette Mixin' codeine up with the phenergan She got fit, but she wanna get thin again Drinkin' apple cider vinegar Wearin' Skim, 'cause she wanna be Kim and 'em Uh, alright, I know that you're bad, stop actin' innocent We ain't got generational wealth, it's only a year that I've had these millions My whip could've been in the Tokyo Drift 'cause it's fast and furious I went from the Toyota Yaris to Urus, they had their chance but blew it Now this gyal want me in her uterus, fuck it, I'm rich, let's do it (Fuck it) Take a look at these diamonds wrong, it's a life of squintin', can't just stare With bae through thick and thin, she already thick, so I'm halfway there (Hahaha) Brown and bad, couldn't change my mind, I was halfway there One hundred meters, huh, I just put nine gyal in a Sprinter (Uh) One hundred eaters, they won't fit in one SUV (Nah) SOS, somebody rescue me I got too many gyal, too many-many gyal, I got They can last me the next two weeks (Uh, huh) Alright, like send the address through, please SUV, the outside white, the inside brown like Michael Jack More time 'member the line in trap, spend like I don't even like my stack Pistol came on a Irish ferry, let go and it sound like a tap dance (Bap) The way that I ball, no yellow, the ref have to give me a black card Who did what we doin' with rap? Man couldn't sell out his show after all them years of doin' the cap Sprinter, two girl in a van Inter, two man in Milan Heard one of my tings datin' P. Diddy Need twenty percent of whatever she bags Outside, my head in my hands I told them my name is Cench, she said, ""No, the one on your birth certificate"" Your boyfriend ran from that diamond test, 'cause they weren't legitimate (Nah) She Turkish-Cypriot, but her curves Brazilian, uh I want her, and bro wants her affiliate I'm cheap, still hit a chick like, ""Yo, can I borrow your Netflix?"" She a feminist, she think I'm sexist Twistin' my words, I think she dyslexic Give me my space, I'm intergalactic Before I give you my Insta' password, I'll give you the pin to my AmEx Huh, alright This ain't stainless steel, it's platinum Dinner table, I got manners, huh, t-shirt tucked in, napkin ""Still loading"", that's the caption, I've only amounted a minimal fraction Eat good, I got indigestion Bare snow in my hood, no Aspen Can't get rid of my pain with Aspirin Dave just came in an Aston, I'm makin' that Maybach music (M-M-Maybach Music) You're tryna insult my intelligence, sometimes I may act stupid I never went uni, I been on the campus sellin' cocaine to students If bro let the drum stick beat, then somethin' gon' leak, we ain't playin' exclusives Take a look at these diamonds wrong, it's a life of squintin', can't just stare With bae through thick and thin, she already thick, so I'm halfway there (Hahaha) Brown and bad, couldn't change my mind, I was halfway there One hundred meters, huh, I just put nine gyal in a Sprinter (Uh) One hundred eaters, they won't fit in one SUV (Nah) SOS, somebody rescue me I got too many gyal, too many-many gyal, I got They can last me the next two weeks (Uh, huh) Alright, like send the address through, please Fire for a wife beater, can't rock with that, I ain't wearin' a vest Man have to send her therapy, she got the E cup bra, a lot on her chest I'm in Jamaica, Oracabesse Hit a lick, went cash converters That don't work, it's pawn, no chess I'm doin' more and talkin' less I love chillin' with broke bitches, man book one flight, and they all impressed I'm in the G63, the car hug me like a friend through twist and turns Man livin' for nyash and dyin' for nyash It's fucked, don't know which one's worse I'm fucked, bags in his and hers, what's hers is hers, what's mine is too Heard that girl is a gold digger, it can't be true if she dated you AP baby blue, papers pink, I probably hate me too You ever spent six figures and stared at bae like, ""Look what you made me do"" Yeah, alright, started with a Q, didn't wait in line Weird, I'm askin' my Blasian one, ""Why you so focused on your Asian side?"" I know that the jack boys pray that they get to the club and Dave's inside"
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,"Compa, Â¿quÃ© le parece esa morra? La que anda bailando sola me gusta pa' mÃ­ Bella, ella sabe que estÃ¡ buena Que todos andan mirÃ¡ndola cÃ³mo baila Me acerco y le tiro todo un verbo Tomamos tragos sin peros, solo tentaciÃ³n Le dije: ""Voy a conquistar tu familia, que en unos dÃ­as vas a ser mÃ­a"" Me dijo que estoy muy loco, pero le gusta Que ningÃºn vato como yo actÃºa Y ahÃ­ te va, mija Y pura doble P, viejo AsÃ­ nomÃ¡s, compa Pedro Puro EslabÃ³n Armado Pa' las plebitas Â¡Cha-chau! No soy un vato que tiene varo Pero hablando del corazÃ³n te cumplo todo Me agarrÃ³ pegadito de su mano Mi compa ni se la creyÃ³, que al pasar fui yo Su cuerpo, juro por Dios, que era tan perfecto Su cinturita como modelo Sus ojos desde el principio me enamoraron A ella le gustÃ³ y a mÃ­ me gusta"
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,
